"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-22",,,"0.00","0.0","0.0","87","67","71",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-23",,,"0.18","0.0","0.0","79","53","61",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-24",,,"0.00","0.0","0.0","74","50","65",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-25",,,"0.00","0.0","0.0","79","52","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-26",,,"0.00","0.0","0.0","70","62","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-27",,,"0.01","0.0","0.0","80","66","78",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-28",,,"0.00","0.0","0.0","92","74","84",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-29",,,"0.00","0.0","0.0","95","71","85",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-30",,,"0.00","0.0","0.0","95","70","81",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-01",,,"0.00","0.0","0.0","93","71","75",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-02",,,"0.43","0.0","0.0","80","57","57",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-03",,,"0.07","0.0","0.0","60","56","58",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-04",,,"1.07","0.0","0.0","61","55","56",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-05",,,"0.27","0.0","0.0","61","48","61",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-06",,,"0.00","0.0","0.0","80","59","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-07",,,"0.05","0.0","0.0","85","64","72",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-08",,,"0.00","0.0","0.0","78","59","61",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-09",,,"0.10","0.0","0.0","65","58","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-10",,,"2.32","0.0","0.0","69","60","69",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-11",,,"0.00","0.0","0.0","81","56","70",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-12",,,"0.00","0.0","0.0","83","66","69",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-13",,,"0.00","0.0","0.0","82","62","69",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-14",,,"0.11","0.0","0.0","75","62","64",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-15",,,"0.06","0.0","0.0","72","64","70",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-16",,,"0.00","0.0","0.0","88","67","74",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-17",,,"0.00","0.0","0.0","89","66","69",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-18",,,"0.26","0.0","0.0","78","65","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-19",,,"1.38","0.0","0.0","67","62","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-20",,,"0.02","0.0","0.0","71","61","68",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-21",,,"0.06","0.0","0.0","82","67","68",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-22",,,"0.22","0.0","0.0","80","58","63",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-23",,,"0.05","0.0","0.0","78","58","68",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-24",,,,"0.0","0.0",,,,,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-25","    2","0.06",,"0.0","0.0",,,"66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-26",,,"0.38","0.0","0.0","69","65","68",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-07-27",,,"0.00","0.0","0.0","83","64","73",,,,,,
