DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,DATE,month,year,SHIFT_START_CATEGORY,SHIFT_END_CATEGORY,ID_COUNT,holiday
2021-06-13,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,54.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Late Afternoon,113,0
2021-06-13,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 13:00:00,7.0,2023-12-05 19:00:00,360,30.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,131,0
2021-06-13,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,39.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,58,0
2021-06-13,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,1900-01-01 13:00:00,21.0,2023-12-05 19:00:00,360,8.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,29,0
2021-06-13,Sun,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,1900-01-01 07:30:00,4.0,2023-12-05 13:00:00,330,22.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,65,0
2021-06-13,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,1900-01-01 07:00:00,0.0,2023-12-05 13:00:00,360,11.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,111,0
2021-06-18,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,1900-01-01 12:00:00,8.0,2023-12-05 18:00:00,360,34.0,0.0,78.0,50.0,2021-06-18,6,2021,Afternoon,Evening,55,0
2021-06-18,Fri,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4485,Paid,1900-01-01 12:00:00,3.0,2023-12-05 18:00:00,360,14.0,0.0,78.0,50.0,2021-06-18,6,2021,Afternoon,Evening,16,0
2021-06-18,Fri,Thorofare Rd,Litchfield,Pleasant Pond,5105,Paid,1900-01-01 12:00:00,6.0,2023-12-05 18:00:00,360,24.0,0.0,78.0,50.0,2021-06-18,6,2021,Afternoon,Evening,35,0
2021-06-18,Fri,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 12:00:00,4.0,2023-12-05 18:00:00,360,1.0,0.0,78.0,50.0,2021-06-18,6,2021,Afternoon,Evening,56,0
