DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,TOBS
2021-06-27,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,3504,Paid,13:00,16.0,19:00,360,33.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,5304,Paid,13:00,47.0,19:00,360,67.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,13:00,0.0,19:00,360,3.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5354,Paid,7:00,0.0,17:35,635,37.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,2.0,17:00,600,44.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,15:00,11.0,19:00,240,32.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,3796,Paid,5:30,2.0,6:30,60,26.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,35.0,13:00,360,50.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5386,Paid,13:00,29.0,19:02,362,69.0,0.01,80.0,66.0,78.0
2021-07-02,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,3504,Paid,12:00,0.0,14:00,120,0.0,0.43,80.0,57.0,57.0
